ID,Class
1105,Merritt
1106,Chell
1107,Shea
1108,Chell
1109,Shea
1110,Mahlers2nd
1111,Chachra
1112,Chell
1113,Shea
1114,Hayes
1115,Neal
1116,Hayes
1117,Hayes
1118,Chachra
1119,Sherwin
1120,Chell
1121,Lovitt
1122,Chachra
1123,Chell
1124,Shea
1125,Lovitt
1126,Chell
1127,Chachra
1128,Hayes
1129,Johnson
1130,Hayes
1131,Blankenship
1132,Mahlers2nd
1133,Chachra
1134,Hayes
1135,Mahlers2nd
1136,Chachra
1137,Chell
1138,Hayes
1139,Sherwin
1140,Chachra
1141,Merritt
1142,Hayes
1143,Mark
1144,Chell
1145,Harp
1146,Chell
1147,Koenig
1148,Mahlers2nd
1149,Shea
1150,Merritt
1151,Blankenship
1152,Neal
1153,Peterson
1154,Hayes
1155,Shea
1156,Chell
1157,Hayes
1158,Chandler
1159,Hayes
1160,Chachra
1161,Chachra
1162,Chachra
1163,Chachra
1164,Neal
1165,Johnson
1166,Hayes
1167,Johnson
1168,Mahlers2nd
1169,Chell
1170,Mahlers2nd
1171,Merritt
1172,Agresti
1173,Chachra
1174,Shea
1175,Shea
1176,Chell
1177,Chell
1178,Chell
1179,Hayes
1180,Chell
1181,Taylor
1182,Mahlers2nd
1183,Chell
1184,Chell
1185,Chachra
1186,Chell
1187,Morrison
1188,Chell
1189,Chandler
1190,Agresti
1191,Chachra
1192,Chell
1193,Morrison
1194,Merritt
1195,Chell
1196,Hayes
1197,Hayes
1198,Chell
1199,Chell
1200,Shea
1201,Chachra
1202,Mahlers2nd
1203,Harp
1204,Hayes
1205,Chell
1206,Chell
1207,Hayes
1208,Chachra
1209,Lovitt
1210,Chell
1211,Lovitt
1212,Chell
1213,Mahlers2nd
1214,Lovitt
1215,Chell
1216,Chell
1217,Chell
1218,Chachra
1219,Peterson
1220,Chell
1221,Agresti
1222,Hayes
1223,Merritt
1224,Hayes
1225,Chell
1226,Power
1227,Chell
1228,Chell
1229,Lovitt
1230,Koenig
1231,Power
1232,Sherwin
1233,Chachra
1234,Chell
1235,Chell
1236,Sherwin
1237,Hayes
1238,Power
1239,Engineer
1240,Chell
1241,Chell
1242,Chell
1243,Mahlers2nd
1244,Mahlers2nd
1245,Hayes
1246,Chachra
1247,Chell
1248,Mahlers2nd
1249,Taylor
1250,Hayes
1251,Hayes
1252,Chandler
1253,Johnson
1254,Hayes
1255,Chachra
1256,Mahlers2nd
1257,Chell
1258,Shea
1259,Hayes
1260,Chachra
1261,Lovitt
1262,Hayes
1263,Chell
1264,Chell
1265,Chachra
1266,Power
1267,Lovitt
1268,Chell
1269,Hayes
1270,Chell
1271,Chell
1272,Chell
1273,Chachra
1274,Chell
1275,Cholette
1276,Hayes
1277,Peterson
1278,Blankenship
1279,Chachra
1280,Neal
1281,Hayes
1282,Ashbacher
1283,Chachra
1284,Shea
1285,Hayes
1286,Chell
1287,Hayes
1288,Chell
1289,Johnson
1290,Johnson
1291,Chell
1292,Kolln
1293,Hayes
1294,Chachra
1295,Chachra
1296,Taylor
1297,Hayes
1298,Lovitt
1299,Chell
1300,Chandler
1301,Merritt
1302,Chell
1303,Chell
1304,Chell
1305,Blankenship
1306,Cholette
1307,Chell
1308,Chell
1309,Hayes
1310,Blankenship
1311,Peterson
1312,Chell
1313,Chell
1314,Mark
1315,Hayes
1316,Lovitt
1317,Hayes
1318,Chachra
1319,Hayes
1320,Chell
1321,Lovitt
1322,Hayes
1323,Hayes
1324,Lovitt
1325,Hayes
1326,Hayes
1327,Chachra
1328,Chachra
1329,Chandler
1330,Auken
1331,Lovitt
1332,Chell
1333,Neal
1334,Johnson
1335,Hayes
1336,Chell
1337,Hayes
1338,Hayes
1339,Hayes
1340,Chachra
1341,Mahlers2nd
1342,Lovitt
1343,Auken
1344,Lovitt
1345,Morrison
1346,Mahlers2nd
1347,Chandler
1348,Peterson
1349,Chell
1350,Chell
1351,Agresti
1352,Chell
1353,Taylor
1354,Lovitt
1355,Shea
1356,Mark
1357,Chell
1358,Shea
1359,Cutey
1360,Blankenship
1361,Agresti
1362,Chachra
1363,Hayes
1364,Merritt
1365,Chachra
1366,Hayes
1367,Mahlers2nd
1368,Hayes
1369,Chell
1370,Mahlers2nd
1371,Hayes
1372,Peterson
1373,Engineer
1374,Mark
1375,Hayes
1376,Chachra
1377,Lovitt
1378,Hayes
1379,Chachra
1380,Chell
1381,Sherwin
1382,Chell
1383,Hayes
1384,Chachra
1385,Lovitt
1386,Chell
1387,Chell
1388,Chachra
1389,Chachra
1390,Chell
1391,Chell
1392,Chell
1393,Chachra
1394,Morrison
1395,Chachra
1396,Mahlers2nd
1397,Merritt
1398,Shea
1399,Morrison
1400,Lovitt
1401,Chell
1402,Chell
1403,Chell
1404,Mark
1405,Shea
1406,Chachra
1407,Sherwin
1408,Chachra
1409,Chell
1410,Chachra
1411,Lovitt
1412,Chachra
1413,Neal
1414,Shea
1415,Morrison
1416,Chell
1417,Hayes
1418,Engineer
1419,Chell
1420,Hayes
1421,Lovitt
1422,Lovitt
1423,Hayes
1424,Chandler
1425,Chell
1426,Shea
1427,Lovitt
1428,Chachra
1429,Chell
1430,Hayes
1431,Chachra
1432,Chell
1433,Kolln
1434,Power
1435,Chell
1436,Sherwin
1437,Sherwin
1438,Chell
1439,Koenig
1440,Hayes
1441,Chell
1442,Shea
1443,Johnson
1444,Chell
1445,Lovitt
1446,Lovitt
1447,Chell
1448,Hayes
1449,Engineer
1450,Chell
1451,Lovitt
1452,Hayes
1453,Johnson
1454,Hayes
1455,Lovitt
1456,Sherwin
1457,Chell
1458,Johnson
1459,Chachra
1460,Engineer
1461,Hayes
1462,Hayes
1463,Hayes
1464,Chachra
1465,Chachra
1466,Chell
1467,Mahlers2nd
1468,Cutey
1469,Hayes
1470,Lovitt
1471,Morrison
1472,Hayes
1473,Chachra
1474,Hayes
1475,Merritt
1476,Johnson
1477,Nigam
1478,Hayes
1479,Chell
1480,Chachra
1481,Mahlers2nd
1482,Shea
1483,Chell
1484,Lovitt
1485,Chachra
1486,Chell
1487,Chell
1488,Johnson
1489,Chell
1490,Morrison
1491,Lovitt
1492,Chell
1493,Chell
1494,Hayes
1495,Hayes
1496,Chachra
1497,Hayes
1498,Chell
1499,Chachra
